"ID","FNAME","TALKERS"
"1","./playback/STIMULI/wavFilesTest/3070-166423-0027_3070-166421-0013_04_50_nspkrs_1.wav","1"
"2","./playback/STIMULI/wavFilesTest/210-129396-0170_210-129396-0000_02_65_nspkrs_1.wav","1"
"3","./playback/STIMULI/wavFilesTest/672-122797-0011_672-122797-0003_02_54_nspkrs_1.wav","1"
"4","./playback/STIMULI/wavFilesTest/3081-166546-0058_3081-166546-0019_04_43_nspkrs_1.wav","1"
"5","./playback/STIMULI/wavFilesTest/8195-117382-0126_8195-117382-0112_02_84_nspkrs_1.wav","1"
"6","./playback/STIMULI/wavFilesTest/4071-39616-0017_4071-176278-0042_03_24_nspkrs_1.wav","1"
"7","./playback/STIMULI/wavFilesTest/323-126408-0051_323-126408-0020_02_60_nspkrs_1.wav","1"
"8","./playback/STIMULI/wavFilesTest/61-70968-0044_61-70968-0034_02_77_nspkrs_1.wav","1"
"9","./playback/STIMULI/wavFilesTest/451-126829-0010_451-126826-0007_03_64_nspkrs_1.wav","1"
"10","./playback/STIMULI/wavFilesTest/4014-186176-0022_4014-186175-0029_03_56_nspkrs_1.wav","1"
"11","./playback/STIMULI/wavFilesTest/1737-146161-0010_1737-142397-0027_04_28_nspkrs_1.wav","1"
"12","./playback/STIMULI/wavFilesTest/2368-157066-0001_2368-157057-0037_04_37_nspkrs_1.wav","1"
"13","./playback/STIMULI/wavFilesTest/6505-231838-0039_6505-231838-0026_03_08_nspkrs_1.wav","1"
"14","./playback/STIMULI/wavFilesTest/481-123720-0043_481-123719-0004_02_98_nspkrs_1.wav","1"
"15","./playback/STIMULI/wavFilesTest/3389-13248-0024_3389-130127-0016_02_69_nspkrs_1.wav","1"
"16","./playback/STIMULI/wavFilesTest/6574-70753-0021_6574-120583-0026_03_49_nspkrs_1.wav","1"
"17","./playback/STIMULI/wavFilesTest/1974-139742-0026_1974-139741-0052_02_75_nspkrs_1.wav","1"
"18","./playback/STIMULI/wavFilesTest/5339-14134-0071_5339-14134-0036_02_79_nspkrs_1.wav","1"
"19","./playback/STIMULI/wavFilesTest/56-1733-0022_56-1731-0006_02_58_nspkrs_1.wav","1"
"20","./playback/STIMULI/wavFilesTest/6313-76958-0023_6313-66125-0004_03_25_nspkrs_1.wav","1"
"21","./playback/STIMULI/wavFilesTest/3446-144021-0017_3446-144019-0028_04_54_nspkrs_1.wav","1"
"22","./playback/STIMULI/wavFilesTest/1678-142279-0059_1678-142279-0013_02_62_nspkrs_1.wav","1"
"23","./playback/STIMULI/wavFilesTest/121-127105-0017_121-121726-0002_02_69_nspkrs_1.wav","1"
"24","./playback/STIMULI/wavFilesTest/5029-80197-0017_5029-30593-0043_03_08_nspkrs_1.wav","1"
"25","./playback/STIMULI/wavFilesTest/5968-61356-0016_5968-55202-0008_03_66_nspkrs_1.wav","1"
"26","./playback/STIMULI/wavFilesTest/5802-76044-0021_5802-76044-0000_04_87_nspkrs_1.wav","1"
"27","./playback/STIMULI/wavFilesTest/2533-149939-0064_2533-149939-0005_04_62_nspkrs_1.wav","1"
"28","./playback/STIMULI/wavFilesTest/708-129393-0119_708-129393-0048_03_86_nspkrs_1.wav","1"
"29","./playback/STIMULI/wavFilesTest/1734-142311-0049_1734-142311-0006_03_19_nspkrs_1.wav","1"
"30","./playback/STIMULI/wavFilesTest/5154-6174-0016_5154-26558-0008_04_32_nspkrs_1.wav","1"
"31","./playback/STIMULI/wavFilesTest/322-124146-0037_322-124146-0005_03_78_nspkrs_1.wav","1"
"32","./playback/STIMULI/wavFilesTest/511-131228-0021_511-131228-0000_02_54_nspkrs_1.wav","1"
"33","./playback/STIMULI/wavFilesTest/2012-139356-0033_2012-139355-0043_03_25_nspkrs_1.wav","1"
"34","./playback/STIMULI/wavFilesTest/249-121331-0101_249-121331-0070_04_61_nspkrs_1.wav","1"
"35","./playback/STIMULI/wavFilesTest/652-130737-0004_652-130726-0009_04_99_nspkrs_1.wav","1"
"36","./playback/STIMULI/wavFilesTest/4116-3582-0015_4116-13265-0032_05_00_nspkrs_1.wav","1"
"37","./playback/STIMULI/wavFilesTest/7276-90847-0021_7276-284424-0026_02_62_nspkrs_1.wav","1"
"38","./playback/STIMULI/wavFilesTest/6924-114452-0012_6924-114452-0004_02_69_nspkrs_1.wav","1"
"39","./playback/STIMULI/wavFilesTest/4595-45218-0039_4595-45204-0025_04_18_nspkrs_1.wav","1"
"40","./playback/STIMULI/wavFilesTest/5727-47030-0068_5727-47030-0024_02_88_nspkrs_1.wav","1"
"41","./playback/STIMULI/wavFilesTest/2230-124587-0018_2230-124587-0016_03_44_nspkrs_1.wav","1"
"42","./playback/STIMULI/wavFilesTest/403-128339-0052_403-126855-0027_02_56_nspkrs_1.wav","1"
"43","./playback/STIMULI/wavFilesTest/479-134717-0014_479-107479-0022_03_98_nspkrs_1.wav","1"
"44","./playback/STIMULI/wavFilesTest/3259-158083-0088_3259-158083-0011_02_66_nspkrs_1.wav","1"
"45","./playback/STIMULI/wavFilesTest/5561-39621-0006_5561-39621-0000_02_65_nspkrs_1.wav","1"
"46","./playback/STIMULI/wavFilesTest/5386-8684-0046_5386-4145-0024_03_67_nspkrs_1.wav","1"
"47","./playback/STIMULI/wavFilesTest/176-123269-0009_176-122025-0032_04_94_nspkrs_1.wav","1"
"48","./playback/STIMULI/wavFilesTest/2035-147961-0030_2035-147961-0027_03_85_nspkrs_1.wav","1"
"49","./playback/STIMULI/wavFilesTest/3994-149798-0026_3994-149798-0015_02_97_nspkrs_1.wav","1"
"50","./playback/STIMULI/wavFilesTest/89-219-0056_89-218-0015_04_99_nspkrs_1.wav","1"
"51","./playback/STIMULI/wavFilesTest/7802-104398-0012_7802-104394-0048_02_90_nspkrs_1.wav","1"
"52","./playback/STIMULI/wavFilesTest/480-126336-0020_480-123176-0023_03_89_nspkrs_1.wav","1"
"53","./playback/STIMULI/wavFilesTest/1988-24833-0010_1988-147956-0016_03_03_nspkrs_1.wav","1"
"54","./playback/STIMULI/wavFilesTest/7021-85628-0025_7021-85628-0004_02_77_nspkrs_1.wav","1"
"55","./playback/STIMULI/wavFilesTest/157-126796-0021_157-121899-0036_03_43_nspkrs_1.wav","1"
"56","./playback/STIMULI/wavFilesTest/1580-141084-0027_1580-141083-0030_03_36_nspkrs_1.wav","1"
"57","./playback/STIMULI/wavFilesTest/260-123288-0004_260-123286-0024_04_31_nspkrs_1.wav","1"
"58","./playback/STIMULI/wavFilesTest/2902-9008-0015_2902-9006-0004_02_72_nspkrs_1.wav","1"
"59","./playback/STIMULI/wavFilesTest/1034-121119-0041_1034-121119-0035_04_62_nspkrs_1.wav","1"
"60","./playback/STIMULI/wavFilesTest/1121-176698-0027_1121-135824-0024_03_90_nspkrs_1.wav","1"
"61","./playback/STIMULI/wavFilesTest/6519-69411-0015_6519-231834-0032_03_74_nspkrs_1.wav","1"
"62","./playback/STIMULI/wavFilesTest/7302-86814-0041_7302-86814-0031_04_57_nspkrs_1.wav","1"
"63","./playback/STIMULI/wavFilesTest/209-4733-0022_209-4733-0002_03_02_nspkrs_1.wav","1"
"64","./playback/STIMULI/wavFilesTest/237-134500-0034_237-134500-0016_03_08_nspkrs_1.wav","1"
"65","./playback/STIMULI/wavFilesTest/224-129790-0037_224-129790-0000_02_80_nspkrs_1.wav","1"
"66","./playback/STIMULI/wavFilesTest/118-47824-0032_118-121721-0000_03_75_nspkrs_1.wav","1"
"67","./playback/STIMULI/wavFilesTest/5883-59268-0007_5883-59268-0004_03_74_nspkrs_1.wav","1"
"68","./playback/STIMULI/wavFilesTest/353-128309-0092_353-128309-0024_04_18_nspkrs_1.wav","1"
"69","./playback/STIMULI/wavFilesTest/2428-83705-0008_2428-83699-0011_03_62_nspkrs_1.wav","1"
"70","./playback/STIMULI/wavFilesTest/7117-86732-0029_7117-86710-0013_03_21_nspkrs_1.wav","1"
"71","./playback/STIMULI/wavFilesTest/3370-756-0029_3370-163384-0015_04_26_nspkrs_1.wav","1"
"72","./playback/STIMULI/wavFilesTest/525-126965-0122_525-126965-0094_03_94_nspkrs_1.wav","1"
"73","./playback/STIMULI/wavFilesTest/986-129388-0046_986-129388-0002_03_65_nspkrs_1.wav","1"
"74","./playback/STIMULI/wavFilesTest/4535-279852-0034_4535-279849-0002_02_87_nspkrs_1.wav","1"
"75","./playback/STIMULI/wavFilesTest/6119-48032-0036_6119-48032-0029_02_80_nspkrs_1.wav","1"
"76","./playback/STIMULI/wavFilesTest/2830-3980-0015_2830-3980-0009_02_69_nspkrs_1.wav","1"
"77","./playback/STIMULI/wavFilesTest/5622-19214-0016_5622-19214-0006_04_78_nspkrs_1.wav","1"
"78","./playback/STIMULI/wavFilesTest/3889-9915-0037_3889-130125-0037_03_13_nspkrs_1.wav","1"
"79","./playback/STIMULI/wavFilesTest/580-126947-0031_580-126945-0077_02_66_nspkrs_1.wav","1"
